"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT14","WT16","WT18"
"USC00188405","SOLOMONS, MD US","1893-01-01",,,,,"0.67","0.0",,"50","29",,,,,,,,,,,"    1",
"USC00188405","SOLOMONS, MD US","1893-01-02",,,,,"0.00","0.0",,"50","33",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-03",,,,,"0.00","0.0",,"36","21",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-04",,,,,"0.09","1.0",,"25","17",,,,,,,,,,,"    1",
"USC00188405","SOLOMONS, MD US","1893-01-05",,,,,"0.06","0.5",,"32","21",,,,,,,,,,,"    1",
"USC00188405","SOLOMONS, MD US","1893-01-06",,,,,"0.00","0.0",,"29","20",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-07",,,,,"0.00","0.0",,"28","18",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-08",,,,,"0.00","0.0",,"28","20",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-09",,,,,"0.07","0.8",,"36","17",,,,,,,,,,,"    1",
"USC00188405","SOLOMONS, MD US","1893-01-10",,,,,"0.00","0.0",,"33","10",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-11",,,,,"0.00","0.0",,"21","6",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-12",,,,,"0.22","3.0",,"31","18",,,,,,,,,,,"    1",
"USC00188405","SOLOMONS, MD US","1893-01-13",,,,,"0.00","0.0",,"21","10",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-14",,,,,"0.00","0.0",,"26","8",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-15",,,,,"0.00","0.0",,"30","10",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-16",,,,,"0.00","0.0",,"18","4",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-17",,,,,"0.00","0.0",,"21","10",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-18",,,,,"0.00","0.0",,"24","4",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-19",,,,,"0.20","2.0",,"31","16",,,,,,,,,,,"    1",
"USC00188405","SOLOMONS, MD US","1893-01-20",,,,,"0.00","0.0",,"25","13",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-21",,,,,"0.00","0.0",,"32","7",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-22",,,,,"0.00","0.0",,"30","5",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-23",,,,,"0.00","0.0",,"39","26",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-24",,,,,"0.00","0.0",,"41","18",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-25",,,,,"0.00","0.0",,"49","29",,,,,,,,,,,,
"USC00188405","SOLOMONS, MD US","1893-01-26",,,,,"0.00","0.0",,"48","24",,,,,,,,,,,,
